CustomerID,Gender,Senior_Citizen,Partner,Dependents,Tenure,Service_type,Multiple_Lines,Internet_Service_type,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Number_of_Referrals,Offer,Avg_Monthly_Long_Distance_Charges,Avg_Monthly_GB_Download,Upgraded_to_Unlimited_Data,Total_Long_Distance_Charges,Total_Revenue,Churn
0002-ORFBO,Female,0,Yes,Yes,9,Phone Service,No,Cable,No,Yes,No,Yes,Yes,No,One Year,Yes,Mailed check,65.6,593.3,2,No,42.39,16,Yes,381.51,974.81,No
0003-MKNFE,Male,0,No,No,9,Phone Service,Yes,Cable,No,No,No,No,No,Yes,Month-to-Month,No,Mailed check,59.9,542.4,0,No,10.69,10,No,96.21,610.28,No
0004-TLHLJ,Male,0,No,No,4,Phone Service,No,Fiber Optic,No,No,Yes,No,No,No,Month-to-Month,Yes,Electronic check,73.9,280.85,0,Offer E,33.65,30,Yes,134.6,415.45,Yes
0011-IGKFF,Male,1,Yes,No,13,Phone Service,No,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Electronic check,98,1237.85,1,Offer D,27.82,4,Yes,361.66,1599.51,Yes
0013-EXCHZ,Female,1,Yes,No,3,Phone Service,No,Fiber Optic,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Mailed check,83.9,267.4,3,No,7.38,11,Yes,22.14,289.54,Yes
0013-MHZWF,Female,0,No,Yes,9,Phone Service,No,Cable,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit card (automatic),69.4,571.45,0,Offer E,16.77,73,Yes,150.93,722.38,No
0013-SMEOE,Female,1,Yes,No,71,Phone Service,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank transfer (automatic),109.7,7904.25,1,Offer A,9.96,14,Yes,707.16,8611.41,No
0014-BMAQU,Male,0,Yes,No,63,Phone Service,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Two Year,Yes,Credit card (automatic),84.65,5377.8,8,Offer B,12.96,7,No,816.48,6214.28,No
0015-UOCOJ,Female,1,No,No,7,Phone Service,No,DSL,Yes,No,No,No,No,No,Two Year,Yes,Electronic check,48.2,340.35,0,Offer E,10.53,21,Yes,73.71,414.06,No
0016-QLJIS,Female,0,Yes,Yes,65,Phone Service,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Mailed check,90.45,5957.9,3,No,28.46,14,Yes,1849.9,7807.8,No
0017-DINOC,Male,0,No,No,54,Internet Service,No phone service,Cable,Yes,No,No,Yes,Yes,No,Two Year,No,Credit card (automatic),45.2,2460.55,0,No,0,10,Yes,0,2460.55,No
0017-IUDMW,Female,0,Yes,Yes,72,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit card (automatic),116.8,8456.75,2,No,16.01,59,Yes,1152.72,9609.47,No
0018-NYROU,Female,0,Yes,No,5,Phone Service,No,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,68.95,351.5,0,No,18.65,10,Yes,93.25,444.75,No
0019-EFAEP,Female,0,No,No,72,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Two Year,Yes,Bank transfer (automatic),101.3,7261.25,0,Offer A,2.25,16,Yes,162,7423.25,No
0019-GFNTW,Female,0,No,No,56,Internet Service,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two Year,No,Bank transfer (automatic),45.05,2560.1,0,No,0,19,Yes,0,2560.1,No
0020-INWCK,Female,0,Yes,Yes,71,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Two Year,Yes,Credit card (automatic),95.75,6849.4,9,Offer A,27.26,12,Yes,1935.46,8784.86,No
0020-JDNXP,Female,0,Yes,Yes,34,Internet Service,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One Year,No,Mailed check,61.25,1993.2,0,No,0,20,Yes,0,1993.2,No
0021-IKXGC,Female,1,No,No,1,Phone Service,Yes,Fiber Optic,No,No,No,No,No,No,One Year,Yes,Electronic check,72.1,72.1,0,Offer E,7.77,22,Yes,7.77,79.87,No
0022-TCJCI,Male,1,No,No,45,Phone Service,No,DSL,Yes,No,Yes,No,No,Yes,One Year,No,Credit card (automatic),62.7,2791.5,0,No,10.67,17,Yes,480.15,3271.65,Yes
0023-HGHWL,Male,1,No,No,1,Internet Service,No phone service,Cable,No,No,No,No,No,No,Month-to-Month,Yes,Electronic check,25.1,25.1,0,No,0,9,Yes,0,25.1,Yes
0023-UYUPN,Female,1,Yes,No,50,Phone Service,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Electronic check,25.2,1306.3,0,No,31.43,0,Phone customers,1571.5,2877.8,No
0023-XUOPT,Female,0,Yes,No,13,Phone Service,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,Month-to-Month,No,Electronic check,94.1,1215.6,1,No,43.56,52,Yes,566.28,1781.88,Yes
0027-KWYKW,Female,0,Yes,Yes,23,Phone Service,Yes,Fiber Optic,No,No,No,No,Yes,No,Month-to-Month,Yes,Electronic check,83.75,1849.95,1,Offer D,34.91,30,Yes,802.93,2652.88,No
0030-FNXPP,Female,0,No,No,3,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,19.85,57.2,0,No,3.12,0,Phone customers,9.36,66.56,No
0031-PVLZI,Female,0,Yes,Yes,4,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-Month,No,Mailed check,20.35,76.35,0,Offer E,12.43,0,Phone customers,49.72,126.07,Yes
0032-PGELS,Female,0,Yes,Yes,1,Internet Service,No phone service,DSL,Yes,No,No,No,No,No,Month-to-Month,No,Bank transfer (automatic),30.5,30.5,1,No,0,19,Yes,0,30.5,Yes
0036-IHMOT,Female,0,Yes,Yes,55,Phone Service,No,Fiber Optic,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank transfer (automatic),103.7,5656.75,10,No,35.04,57,No,1927.2,7603.95,No
0040-HALCW,Male,0,Yes,Yes,54,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),20.4,1090.6,3,No,19.7,0,Phone customers,1063.8,2154.4,No
0042-JVWOJ,Male,0,No,No,26,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,Yes,Bank transfer (automatic),19.6,471.85,0,Offer C,37.7,0,Phone customers,980.2,1430.8,No
0042-RLHYP,Female,0,Yes,Yes,69,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Bank transfer (automatic),19.7,1396.9,5,No,38.39,0,Phone customers,2648.91,4045.81,No
0048-LUMLS,Male,0,Yes,Yes,37,Phone Service,No,Fiber Optic,No,No,No,No,Yes,Yes,One Year,No,Credit card (automatic),91.2,3247.55,1,Offer C,43.01,51,Yes,1591.37,4838.92,No
0048-PIHNL,Female,0,Yes,No,49,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Bank transfer (automatic),20.45,900.9,5,Offer B,49.58,0,Phone customers,2429.42,3330.32,No
0052-DCKON,Male,0,Yes,No,66,Phone Service,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank transfer (automatic),115.8,7942.15,9,No,43.77,41,Yes,2888.82,10830.97,No
0052-YNYOT,Female,0,No,No,67,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One Year,No,Electronic check,20.55,1343.4,0,No,23.12,0,Phone customers,1549.04,2861.91,No
0056-EPFBG,Male,0,Yes,Yes,20,Internet Service,No phone service,Cable,Yes,No,Yes,Yes,No,No,Two Year,Yes,Credit card (automatic),39.4,825.4,4,No,0,22,Yes,0,825.4,No
0057-QBUQH,Female,0,No,Yes,43,Phone Service,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,Yes,Electronic check,25.1,1070.15,0,No,30.64,0,Phone customers,1317.52,2387.67,No
0058-EVZWM,Female,0,Yes,No,55,Phone Service,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Month-to-Month,Yes,Bank transfer (automatic),89.8,4959.6,2,Offer B,5.08,9,Yes,279.4,5239,No
0060-FUALY,Female,0,Yes,No,59,Phone Service,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Month-to-Month,Yes,Electronic check,94.75,5597.65,4,Offer B,16.39,14,Yes,967.01,6564.66,No
0064-SUDOG,Female,0,Yes,Yes,12,Phone Service,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Bank transfer (automatic),20.3,224.5,3,No,19.28,0,Phone customers,231.36,455.86,No
0064-YIJGF,Male,0,Yes,Yes,27,Phone Service,Yes,Fiber Optic,No,No,No,No,No,No,Month-to-Month,Yes,Bank transfer (automatic),75.75,1929,7,Offer C,25.26,23,Yes,682.02,2611.02,No
0067-DKWBL,Male,1,No,No,2,Phone Service,No,DSL,Yes,No,No,No,No,No,Month-to-Month,Yes,Electronic check,49.25,91.1,0,No,43.99,27,Yes,87.98,179.08,Yes
0068-FIGTF,Female,0,No,No,27,Phone Service,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Mailed check,78.2,2078.95,0,Offer C,48.91,59,Yes,1320.57,3399.52,No
0071-NDAFP,Male,0,Yes,Yes,25,Phone Service,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two Year,No,Credit card (automatic),25.5,630.6,1,No,23.69,0,Phone customers,592.25,1178.43,No
0074-HDKDG,Male,0,Yes,Yes,25,Phone Service,No,Cable,Yes,Yes,Yes,No,No,No,One Year,Yes,Bank transfer (automatic),61.6,1611,5,No,6.45,19,Yes,161.25,1727.35,No
0076-LVEPS,Male,0,No,Yes,29,Internet Service,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-Month,Yes,Mailed check,45,1242.45,0,No,0,21,Yes,0,1230.19,No
0078-XZMHT,Male,0,Yes,No,72,Phone Service,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank transfer (automatic),85.15,6316.2,5,No,32.36,52,Yes,2329.92,8646.12,No
0080-EMYVY,Female,0,No,No,14,Phone Service,No,Cable,No,Yes,No,No,No,No,One Year,No,Credit card (automatic),51.45,727.85,0,No,24.04,12,Yes,336.56,1064.41,No
0080-OROZO,Female,0,No,No,35,Phone Service,No,Fiber Optic,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Electronic check,99.25,3532,0,Offer C,36.42,2,Yes,1274.7,4806.7,No
0082-LDZUE,Male,0,No,No,1,Phone Service,No,DSL,No,No,No,No,No,No,Month-to-Month,Yes,Mailed check,44.3,44.3,0,Offer E,42.95,9,Yes,42.95,87.25,No
0082-OQIQY,Male,0,No,No,29,Phone Service,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Electronic check,94.2,2607.6,0,No,2.05,17,No,59.45,2687.05,No
0083-PIVIK,Male,0,No,No,64,Phone Service,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Electronic check,81.25,5567.55,0,No,5.49,69,No,351.36,5958.91,No
0089-IIQKO,Female,0,Yes,Yes,39,Phone Service,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit card (automatic),99.95,3767.4,1,No,24.38,53,Yes,950.82,4718.22,No
